no,hanja,reading,meaning_ko,category,confidence,source_count,sources,note
1,枝,지,가지,이름뜻어색함-음식식물(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 가지
2,柯,가,가지,이름뜻어색함-음식식물(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 가지
3,條,조,가지,이름뜻어색함-음식식물(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 가지
4,戶,호,지게,이름뜻어색함-생활용품(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 지게
5,倔,굴,딱딱할,이름뜻어색함-감각촉감(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 딱딱할
6,利,리/이,날카로울,이름뜻어색함-감각촉감(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 날카로울
7,埽,소,쓸,이름뜻어색함-감각촉감(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 쓸
8,庸,용,쓸,이름뜻어색함-감각촉감(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 쓸
9,掃,소,쓸,이름뜻어색함-감각촉감(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 쓸
10,搾,착,짤,이름뜻어색함-감각촉감(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 짤
11,書,서,쓸,이름뜻어색함-감각촉감(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 쓸
12,汰,태,미끄러울,이름뜻어색함-감각촉감(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 미끄러울
13,澁,삽,떫을,이름뜻어색함-감각촉감(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 떫을
14,用,용,쓸,이름뜻어색함-감각촉감(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 쓸
15,粗,조,거칠,이름뜻어색함-감각촉감(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 거칠
16,絍,임,짤,이름뜻어색함-감각촉감(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 짤
17,織,직,짤,이름뜻어색함-감각촉감(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 짤
18,苛,가,매울,이름뜻어색함-감각촉감(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 매울
19,荒,황,거칠,이름뜻어색함-감각촉감(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 거칠
20,費,비,쓸,이름뜻어색함-감각촉감(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 쓸
21,辛,신,매울,이름뜻어색함-감각촉감(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 매울
22,鈍,둔,무딜,이름뜻어색함-감각촉감(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 무딜
23,銳,예,날카로울,이름뜻어색함-감각촉감(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 날카로울
24,鹹,함,짤,이름뜻어색함-감각촉감(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 짤
25,蠡,려/여,좀먹을,이름뜻어색함-부식노화(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 좀먹을
26,黴,미,곰팡이,이름뜻어색함-부식노화(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 곰팡이
27,旱,한,가물,이름뜻어색함-거친자연현상(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 가물
28,滈,호,장마,이름뜻어색함-거친자연현상(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 장마
29,霆,정,벼락,이름뜻어색함-거친자연현상(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 벼락
30,震,진,벼락,이름뜻어색함-거친자연현상(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 벼락
31,霔,주,장마,이름뜻어색함-거친자연현상(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 장마
32,霖,림/임,장마,이름뜻어색함-거친자연현상(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 장마
33,霜,상,서리,이름뜻어색함-거친자연현상(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 서리
34,霪,음,장마,이름뜻어색함-거친자연현상(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 장마
35,霹,벽,벼락,이름뜻어색함-거친자연현상(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 벼락
36,靂,력/역,벼락,이름뜻어색함-거친자연현상(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 벼락
37,屢,누/루,창,이름뜻어색함-무기흉기(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 창
38,戈,과,창,이름뜻어색함-무기흉기(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 창
39,戵,구,창,이름뜻어색함-무기흉기(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 창
40,柊,종,방망이,이름뜻어색함-무기흉기(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 방망이
41,棍,곤,몽둥이,이름뜻어색함-무기흉기(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 몽둥이
42,棒,봉,몽둥이,이름뜻어색함-무기흉기(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 몽둥이
43,棨,계,창,이름뜻어색함-무기흉기(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 창
44,椎,추,쇠몽둥이,이름뜻어색함-무기흉기(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 쇠몽둥이
45,槊,삭,창,이름뜻어색함-무기흉기(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 창
46,槌,퇴,몽둥이,이름뜻어색함-무기흉기(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 몽둥이
47,槍,창,창,이름뜻어색함-무기흉기(자동스캔),검토필요,0,hun 키워드 자동 스캔(어색함),매칭 키워드: 창
