rank,name,count
1,서아,14138
2,이서,12072
3,하윤,11611
4,서윤,10766
5,지안,10521
6,아윤,9933
7,하린,9924
8,아린,9670
9,지아,9458
10,시아,9100
11,지유,8954
12,지우,8318
13,수아,7369
14,유나,7283
15,하은,6957
16,채아,6607
17,유주,6588
18,나은,6487
19,윤서,6372
20,서하,6161
21,예나,6154
22,서연,5997
23,예린,5640
25,유하,5391
26,하율,5362
27,채원,5347
28,채이,5345
29,서우,5118
30,재이,5110
31,소이,5027
32,로아,5026
34,도아,5019
35,윤슬,4914
36,예서,4824
37,다인,4664
38,서현,4616
39,이나,4593
40,윤아,4591
41,다은,4588
42,소율,4564
43,세아,4436
44,채은,4338
45,채윤,4270
46,소윤,4221
47,이솔,4136
48,아인,4082
49,이현,4027
50,나윤,3967
51,시은,3938
52,주아,3933
53,서율,3907
54,지윤,3748
55,은서,3695
56,서은,3639
57,민서,3555
58,연우,3549
59,다온,3521
60,연서,3513
61,하연,3403
62,지율,3331
63,다윤,3324
64,설아,3158
65,소은,3127
66,유진,3030
68,하리,2899
69,해나,2890
70,예은,2882
71,루아,2872
72,은채,2789
73,채린,2731
74,사랑,2721
75,아현,2629
76,단아,2538
77,지민,2522
78,유이,2479
79,다현,2368
80,이안,2356
81,예원,2342
82,하나,2329
84,지원,2267
85,소민,2245
87,다연,2233
88,지온,2180
89,나연,2163
91,하영,2099
92,유은,2051
93,리안,2041
95,주하,2013
97,새봄,1914
98,하루,1896
99,해린,1871
100,수빈,1865
100,유안,1865
102,가은,1859
103,해인,1850
104,아진,1846
105,시연,1811
105,은하,1811
107,하늘,1790
108,유빈,1786
109,나율,1782
110,연아,1767
111,지은,1762
112,도은,1753
113,제이,1749
114,라희,1720
115,세은,1715
116,지수,1714
117,현서,1669
118,은유,1668
119,승아,1665
120,시현,1634
121,예진,1618
122,예지,1615
123,이진,1561
124,아율,1556
125,하랑,1551
126,하온,1550
127,윤하,1548
128,예빈,1546
129,아영,1539
130,도연,1529
131,하진,1527
133,라온,1513
134,서진,1486
135,다미,1480
136,민아,1470
137,다솜,1463
139,세린,1434
140,예솔,1401
141,민채,1398
142,도희,1397
143,다율,1372
143,서이,1372
145,시윤,1364
146,소미,1354
147,이담,1325
148,규리,1311
149,서빈,1307
151,나린,1304
152,리원,1301
153,라윤,1292
154,서희,1284
155,나현,1275
156,도이,1270
157,로하,1262
158,다빈,1258
159,소담,1249
160,수연,1240
161,하임,1237
162,로희,1236
163,서린,1230
164,하이,1223
165,시하,1213
167,서안,1190
168,민하,1184
169,정원,1175
170,하엘,1165
171,슬아,1163
172,가윤,1162
173,로은,1143
174,가을,1134
175,유리,1133
177,수현,1122
178,아라,1115
179,세연,1106
180,채빈,1100
181,여름,1097
185,수민,1076
186,루다,1056
187,이솜,1054
188,주은,1047
189,소희,1045
190,가빈,1042
191,예온,1038
192,리하,1034
192,시안,1034
194,민지,1031
195,유민,1017
196,채율,1016
197,은솔,1007
198,우주,1003
198,제니,1003
200,서원,996
201,다희,988
202,서영,987
203,채하,986
204,한별,984
205,이설,982
206,서인,967
207,은재,948
208,이은,944
209,이수,937
210,은우,930
211,예슬,921
212,소연,912
213,유담,909
214,온유,905
216,가온,900
217,채민,890
219,하빈,886
220,연재,871
220,지현,871
222,은별,870
223,세인,865
224,라율,863
226,보미,854
227,도하,851
227,예주,851
229,윤채,850
231,한나,842
232,소유,815
234,채연,806
235,윤지,793
