no,hanja,reading,meaning_ko,category,confidence,source_count,sources,note
1,伋,급,속일,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 속일
2,佯,양,거짓,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 거짓
3,侜,주,속일,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 속일
4,侻,탈,간사할,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 간사할
5,俑,용,시체와 함께 매장하는 허수아비 인형,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 시체
6,倀,창,미칠,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 미칠 (주의: '이르다/도달하다' 뜻과 '미치광이' 뜻이 동형이의어라 오탐 가능성 높음)
7,倰,능/릉,속일,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 속일
8,偸,투,훔칠,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 훔칠
9,傖,창,천할,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 천할
10,傭,용,머슴,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 머슴
11,僞,위,거짓,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 거짓
12,僥,요,거짓,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 거짓
13,兇,흉,흉악할,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 흉악할
14,刑,형,형벌,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 형벌
15,剿,초,죽일,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 죽일
16,劉,류/유,죽일,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 죽일
17,及,급,미칠,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 미칠 (주의: '이르다/도달하다' 뜻과 '미치광이' 뜻이 동형이의어라 오탐 가능성 높음)
18,叛,반,배반할,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 배반할
19,叱,질,꾸짖을,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 꾸짖을
20,呵,가,꾸짖을,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 꾸짖을
21,咄,돌,꾸짖을,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 꾸짖을
22,咠,집,참소할,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 참소할
23,咤,타,꾸짖을,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 꾸짖을
24,哇,와,음란한 소리,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 음란
25,哬,하,꾸짖을,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 꾸짖을
26,喝,갈,꾸짖을,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 꾸짖을
27,嗃,학,꾸짖을,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 꾸짖을
28,囚,수,가둘,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 가둘
29,圄,어,가둘,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 가둘
30,姍,산,헐뜯을,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 헐뜯을
31,嫉,질,미워할,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 미워할
32,寇,구,도둑,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 도둑
33,屍,시,주검,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 주검
34,延,연,미칠,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 미칠 (주의: '이르다/도달하다' 뜻과 '미치광이' 뜻이 동형이의어라 오탐 가능성 높음)
35,忮,기,해칠,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 해칠
36,怏,앙,원망할,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 원망할
37,怨,원,원망할,뜻흉함(자동스캔),상,0,hun 키워드 자동 스캔,매칭 키워드: 원망할
