no,hanja,reading,meaning_ko,category,confidence,source_count,sources,note
1,姦/奸,간,간사할/간음할 간,뜻흉함,상,3,parkhongsam.com(작명원)|dgsaju(사주카페 도경담원)|knaming.org(한국작명교육협회),
2,哭,곡,울 곡,뜻흉함,상,2,parkhongsam.com(작명원)|knaming.org(한국작명교육협회),
3,盜,도,훔칠 도,뜻흉함,상,2,parkhongsam.com(작명원)|knaming.org(한국작명교육협회),
4,毒,독,독 독,뜻흉함,상,3,parkhongsam.com(작명원)|dgsaju(사주카페 도경담원)|knaming.org(한국작명교육협회),
5,亡,망,망할 망,뜻흉함,상,3,parkhongsam.com(작명원)|dgsaju(사주카페 도경담원)|knaming.org(한국작명교육협회),
6,盲,맹,소경 맹,뜻흉함,상,2,parkhongsam.com(작명원)|knaming.org(한국작명교육협회),
7,犯,범,범할 범,뜻흉함,상,2,parkhongsam.com(작명원)|knaming.org(한국작명교육협회),
8,病,병,병 병,뜻흉함,상,2,parkhongsam.com(작명원)|dgsaju(사주카페 도경담원),
9,敗,패,깨뜨릴 패,뜻흉함,상,2,parkhongsam.com(작명원)|dgsaju(사주카페 도경담원),
10,死,사,죽을 사,뜻흉함,상,2,parkhongsam.com(작명원)|dgsaju(사주카페 도경담원),
11,弱,약,약할 약,뜻흉함,상,2,parkhongsam.com(작명원)|dgsaju(사주카페 도경담원),
12,哀,애,슬플 애,뜻흉함,상,2,parkhongsam.com(작명원)|dgsaju(사주카페 도경담원),
13,欺,기,속일 기,뜻흉함,중,1,parkhongsam.com(작명원),
14,苦,고,쓸/괴로울 고,뜻흉함,중,1,parkhongsam.com(작명원),
15,骨,골,뼈 골,뜻흉함,중,1,parkhongsam.com(작명원),
16,怪,괴,기이할 괴,뜻흉함,중,1,parkhongsam.com(작명원),
17,鬼,귀,귀신 귀,뜻흉함,중,1,parkhongsam.com(작명원),
18,劍,검,칼 검,뜻흉함,중,1,parkhongsam.com(작명원),
19,怒,노,성낼 노,뜻흉함,중,1,parkhongsam.com(작명원),
20,惱,뇌,괴로워할 뇌,뜻흉함,중,1,parkhongsam.com(작명원),
21,刀,도,칼 도,뜻흉함,중,1,parkhongsam.com(작명원),
22,痛,통,아플 통,뜻흉함,중,1,parkhongsam.com(작명원),
23,濁,탁,흐릴 탁,뜻흉함,중,1,parkhongsam.com(작명원),
24,了,료,마칠 료,뜻흉함,중,1,parkhongsam.com(작명원),
25,淚,루,눈물 루,뜻흉함,중,1,parkhongsam.com(작명원),
26,蠻,만,오랑캐 만,뜻흉함,중,1,parkhongsam.com(작명원),
27,冥,명,어두울 명,뜻흉함,중,1,parkhongsam.com(작명원),
28,貧,빈,가난할 빈,뜻흉함,중,1,parkhongsam.com(작명원),
29,墳,분,무덤 분,뜻흉함,중,1,parkhongsam.com(작명원),
30,秕,비,쭉정이 비,뜻흉함,중,1,parkhongsam.com(작명원),
31,喪,상,죽을 상,뜻흉함,중,1,parkhongsam.com(작명원),
32,愁,수,시름 수,뜻흉함,중,1,parkhongsam.com(작명원),
33,衰,쇠,쇠할 쇠,뜻흉함,중,1,parkhongsam.com(작명원),
34,傷,상,상처 상,뜻흉함,중,1,parkhongsam.com(작명원),
35,殺,살,죽일 살,뜻흉함,중,1,parkhongsam.com(작명원),
36,爭,쟁,다툴 쟁,뜻흉함,중,1,parkhongsam.com(작명원),
37,障,장,가로막을 장,뜻흉함,중,1,parkhongsam.com(작명원),
38,刺,자,찌를 자,뜻흉함,중,1,parkhongsam.com(작명원),
39,債,채,빚 채,뜻흉함,중,1,parkhongsam.com(작명원),
40,惡,악,악할 악,뜻흉함,중,1,parkhongsam.com(작명원),
41,淫,음,음란할 음,뜻흉함,중,1,parkhongsam.com(작명원),
42,泣,읍,울 읍,뜻흉함,중,1,parkhongsam.com(작명원),
43,辱,욕,욕되게 할 욕,뜻흉함,중,1,parkhongsam.com(작명원),
44,疫,역,염병 역,뜻흉함,중,1,parkhongsam.com(작명원),
45,厄,액,재앙 액,뜻흉함,중,1,parkhongsam.com(작명원),
46,殃,앙,재앙 앙,뜻흉함,중,1,parkhongsam.com(작명원),
47,餓,아,주릴 아,뜻흉함,중,1,parkhongsam.com(작명원),
48,凶,흉,흉할 흉,뜻흉함,중,1,parkhongsam.com(작명원),
49,患,환,근심 환,뜻흉함,중,1,parkhongsam.com(작명원),
50,血,혈,피 혈,뜻흉함,중,1,parkhongsam.com(작명원),
51,嶮,험,험할 험,뜻흉함,중,1,parkhongsam.com(작명원),
52,害,해,해할 해,뜻흉함,중,1,parkhongsam.com(작명원),
53,殊,수,죽일 수,뜻흉함,중,1,parkhongsam.com(작명원),주의: 殊의 본래 훈은 '다를 수'. 원 출처 표기 오류 가능성 있어 DB 반영 전 재검증 권장
54,貨,화,재화 화,뜻흉함,하,1,parkhongsam.com(작명원),"주의: '재화/재물'은 통상 부정적 의미가 아님. 원 출처의 분류 근거 불명확, 제외 검토 권장"
55,尿,뇨,오줌 뇨,뜻흉함,중,1,dgsaju(사주카페 도경담원),
56,汚,오,더러울 오,뜻흉함,중,1,dgsaju(사주카페 도경담원),
57,破,파,깨질 파,뜻흉함,중,1,dgsaju(사주카페 도경담원),
58,假,가,거짓 가,뜻흉함,중,1,knaming.org(한국작명교육협회),
59,乞,걸,빌 걸,뜻흉함,중,1,knaming.org(한국작명교육협회),
60,狂,광,미칠 광,뜻흉함,중,1,knaming.org(한국작명교육협회),
61,難,난,어려울 난,뜻흉함,중,1,knaming.org(한국작명교육협회),
62,亂,란(난),어지러울 란,뜻흉함,중,1,knaming.org(한국작명교육협회),
63,奴,노,종 노,뜻흉함,중,1,knaming.org(한국작명교육협회),
64,逃,도,도망할 도,뜻흉함,중,1,knaming.org(한국작명교육협회),
65,犬,견,개 견,동물이름(비하),상,3,parkhongsam.com(작명원)|dgsaju(사주카페 도경담원)|knaming.org(한국작명교육협회),
66,豚,돈,돼지 돈,동물이름(비하),중,2,dgsaju(사주카페 도경담원)|knaming.org(한국작명교육협회),
67,蛇,사,뱀 사,동물이름(비하),중,2,dgsaju(사주카페 도경담원)|knaming.org(한국작명교육협회),
68,牛,우,소 우,동물이름(비하),중,1,knaming.org(한국작명교육협회),
69,鼠,서,쥐 서,동물이름(비하),중,1,knaming.org(한국작명교육협회),
70,鷄,계,닭 계,동물이름(비하),중,1,knaming.org(한국작명교육협회),
71,猫,묘,고양이 묘,동물이름(비하),중,1,knaming.org(한국작명교육협회),
72,魚,어,물고기 어,동물이름(비하),중,1,knaming.org(한국작명교육협회),
73,鳥,조,새 조,동물이름(비하),중,1,knaming.org(한국작명교육협회),
74,馬,마,말 마,동물이름(비하),중,2,parkhongsam.com(작명원)|dgsaju(사주카페 도경담원),
75,龍/龜/鳳/豹/虎/鶴,용/구/봉/표/호/학,"용,거북,봉황,표범,범,두루미",동물이름-예외(불용아님),제외권장,1,knaming.org(한국작명교육협회),knaming.org: 이미지가 좋은 동물자는 불용문자 아님. 전통시대 실제 인명 사용례 다수(예: 韓用龜 조선 영의정). 필터링에서 제외할 것
76,佛,불,부처 불,과도한 격(신성/존귀),중,1,knaming.org(한국작명교육협회),
77,仙,선,신선 선,과도한 격(신성/존귀),중,1,knaming.org(한국작명교육협회),
78,靈,령,신령 령,과도한 격(신성/존귀),중,1,knaming.org(한국작명교육협회),
79,皇,황,임금 황,과도한 격(신성/존귀),중,1,knaming.org(한국작명교육협회),
80,王,왕,임금 왕,과도한 격(신성/존귀),중,1,knaming.org(한국작명교육협회),
81,君,군,임금 군,과도한 격(신성/존귀),중,1,knaming.org(한국작명교육협회),
82,尊,존,높을 존,과도한 격(신성/존귀),중,1,knaming.org(한국작명교육협회),
83,神,신,귀신/신 신,과도한 격(신성/존귀),상,2,parkhongsam.com(작명원)|knaming.org(한국작명교육협회),
84,天,천,하늘 천,과도한 격(신성/존귀),상,2,parkhongsam.com(작명원)|knaming.org(한국작명교육협회),"주의: knaming.org에 따르면 '이천보','유명천' 등 하늘을 보좌/따른다는 문맥이면 허용된 실제 인명 사례 있음. 전면 차단보다 조합 문맥 검토 권장"
85,父,부,아비 부,가족관계 호칭,중,1,knaming.org(한국작명교육협회),
86,母,모,어미 모,가족관계 호칭,중,1,knaming.org(한국작명교육협회),
87,祖,조,조상 조,가족관계 호칭,중,1,knaming.org(한국작명교육협회),
88,姪,질,조카 질,가족관계 호칭,중,1,knaming.org(한국작명교육협회),
89,四,사,넉 사,근현대 신생(발음연상),하,1,knaming.org(한국작명교육협회),knaming.org: 전통시대엔 인명에 사용됨. 死(죽을 사)와 발음이 같다는 이유로 근현대에 새로 기피 시작. 전통 근거는 약하나 현대 사회통념상 회피율 높음
